Chr	Length	aStart	aEnd	midPoint	real_Start	real_End
chr1	249250621	1	249250621	123035435	12145	249240121
chr2	243199373	249250622	492449994	343076793	10500	243188873
chr3	198022430	492449995	690472424	584454849	60500	197955257
chr4	191154276	690472425	881626700	741632542	13322	191025802
chr5	180915260	881626701	1062541960	929532342	10500	180904760
chr6	171115067	1062541961	1233657027	1122872127	60500	171054567
chr7	159138663	1233657028	1392795690	1293211359	19799	159128163
chr8	146364022	1392795691	1539159712	1438134578	10500	146303522
chr9	141213431	1539159713	1680373143	1588027392	12258	141152931
chr10	135534747	1680373144	1815907890	1721128079	60500	135524247
chr11	135006516	1815907891	1950914406	1869052096	60500	134946016
chr12	133851895	1950914407	2084766301	1987271101	60500	133841395
chr13	115169878	2084766302	2199936179	2102266302	19020500	115109378
chr14	107349540	2199936180	2307285719	2217436180	19057400	107283292
chr15	102531392	2307285720	2409817111	2325785720	20044632	102519024
chr16	90354753	2409817112	2500171864	2446652913	61826	90294253
chr17	81195210	2500171865	2581367074	2523934871	6004	81194710
chr18	78077248	2581367075	2659444322	2598327973	10500	78016748
chr19	59128983	2659444323	2718573305	2685626105	66317	59118483
chr20	63025520	2718573306	2781598825	2746442875	68276	62959289
chr21	48129895	2781598826	2829728720	2794386955	9411693	48119395
chr22	51304566	2829728721	2881033286	2844228721	16050500	51244066
chrX	155270560	2881033287	3036303846	2941165299	60500	155257576
chrY	59373566	3036303847	3095677412	3065990630	10500	59360582
